"E_km","N_km","group"
813.99965638196,6990.54607664701,1
814.00016891,6990.54946811,1
814.02508719,6990.69568163,1
814.05049347,6990.81134877,1
814.07777217,6990.91241364,1
814.09250401,6990.96967689,1
814.15035461,6991.20609682,1
814.217484158198,6991.66328901419,1
814.21929278,6991.67180688,1
814.25702813,6991.8495274,1
814.26576232,6991.8877079,1
814.32595451,6992.13308049,1
814.318548632685,6992.13489722101,1
814.35278273,6992.23746233,1
814.426252629632,6992.62529167697,1
814.42964548,6992.62454262,1
814.45133912,6992.72280387,1
814.44499072694,6992.72420543728,1
814.477975,6992.89832122,1
814.48071835206,6992.95073895731,1
814.64710952,6993.49540156,1
814.64645515706,6993.49560146396,1
814.65506138,6993.51843193,1
814.67276902,6993.57787759,1
814.74326828,6993.81229254,1
814.739068547178,6993.81355559109,1
814.83887156,6994.26016196,1
814.872028811256,6994.54140278634,1
815.025570338688,6994.92313066913,1
815.04049459,6994.91790584,1
815.11251447,6995.12362411,1
815.18035192,6995.35165427,1
815.241942674332,6995.60165051135,1
815.294810603771,6995.69996745351,1
815.39363477,6995.79588635,1
815.79471448,6996.30117012,1
816.05314346,6996.89226324,1
816.213010912853,6997.44245785515,1
816.31959727,6997.6570069,1
816.343684056121,6997.71267814386,1
816.49436814,6997.94490837,1
816.815611308126,6998.81828785456,1
816.81655936,6998.81799167,1
816.822519744173,6998.83707015692,1
816.87628053,6998.98323223,1
816.882056879926,6999.02764150818,1
816.91521873,6999.13378868,1
816.938999770563,6999.2435208717,1
816.95336268,6999.27967386,1
817.002237868332,6999.41762986809,1
817.136539332093,6999.57522670548,1
817.48550683,6999.87911785,1
817.566346626731,6999.96790661384,1
817.75737953,7000,1
834.63514715,7000,1
834.63514715,7000.01334854984,1
834.86130255,7000.01698090512,1
834.86130255,7000,1
839.11632893,7000,1
839.11833917,6999.99972782,1
839.60090357,7000.0044737337,1
839.60090357,7000,1
840.11581803,7000,1
840.19310856,6999.98826576,1
840.78060566,6999.96896895,1
840.873687603944,6999.98811263692,1
840.930417714053,6999.99187772587,1
841.05716898,6999.97652721,1
841.74259744,6999.98819317,1
841.81837957,7000,1
843.60917811,7000,1
843.76793452,6999.97751546,1
844.48538517,6999.97987908,1
844.62101048,7000,1
846.1859218,7000,1
846.1859218,7000.01136695261,1
846.39659367,7000.01239032747,1
846.39659367,7000,1
851.29787743,7000,1
851.29787743,7000.00904344669,1
851.52325341,7000.01195175933,1
851.52325341,7000,1
851.92840728,7000,1
851.92840728,7000.01018073969,1
852.21759582,7000.01050471488,1
